"back_hospital.yyyymmdd","back_hospital.area","back_hospital.sex","back_hospital.frequency"
20120105,"세종",2,0
20120105,"울산",1,1
20120105,"울산",2,1
20120105,"인천",1,1
20120105,"인천",2,1
20120105,"전남",1,6
20120105,"전남",2,2
20120105,"전북",1,0
20120105,"전북",2,0
20120105,"제주",1,0
20120105,"제주",2,0
20120105,"충남",1,1
20120105,"충남",2,0
20120105,"충북",1,1
20120105,"충북",2,2
20120106,"강원",1,2
20120106,"강원",2,3
20120106,"경기",1,4
20120106,"경기",2,3
20120106,"경남",1,1
20120106,"경남",2,2
20120106,"경북",1,2
20120106,"경북",2,3
20120106,"광주",1,0
20120106,"광주",2,0
20120106,"대구",1,2
20120106,"대구",2,2
20120106,"대전",1,1
20120106,"대전",2,0
20120106,"부산",1,3
20120106,"부산",2,2
20120106,"서울",1,4
20120106,"서울",2,0
20120106,"세종",1,0
20120106,"세종",2,0
20120106,"울산",1,0
20120106,"울산",2,1
20120106,"인천",1,2
20120106,"인천",2,2
20120106,"전남",1,1
20120106,"전남",2,2
20120106,"전북",1,0
20120106,"전북",2,5
20120106,"제주",1,0
20120106,"제주",2,0
20120106,"충남",1,0
20120106,"충남",2,0
20120106,"충북",1,1
20120106,"충북",2,0
20120107,"강원",1,1
20120107,"강원",2,1
20120107,"경기",1,3
20120107,"경기",2,1
20120107,"경남",1,2
20120107,"경남",2,1
20120107,"경북",1,0
20120107,"경북",2,5
20120107,"광주",1,0
20120107,"광주",2,1
20120107,"대구",1,1
20120107,"대구",2,2
20120107,"대전",1,0
20120107,"대전",2,0
20120107,"부산",1,3
20120107,"부산",2,0
20120107,"서울",1,4
20120107,"서울",2,2
20120107,"세종",1,0
20120107,"세종",2,0
20120107,"울산",1,0
20120107,"울산",2,0
20120107,"인천",1,1
20120107,"인천",2,0
20120107,"전남",1,0
20120107,"전남",2,2
20120107,"전북",1,1
20120107,"전북",2,3
20120107,"제주",1,0
20120107,"제주",2,0
20120107,"충남",1,0
20120107,"충남",2,0
20120107,"충북",1,1
20120107,"충북",2,1
20120108,"강원",1,0
20120108,"강원",2,0
20120108,"경기",1,3
20120108,"경기",2,6
20120108,"경남",1,2
20120108,"경남",2,2
20120108,"경북",1,2
20120108,"경북",2,4
20120108,"광주",1,0
20120108,"광주",2,2
20120108,"대구",1,2
20120108,"대구",2,0
20120108,"대전",1,0
20120108,"대전",2,0
20120108,"부산",1,3
20120108,"부산",2,0
20120108,"서울",1,4
20120108,"서울",2,4
20120108,"세종",1,0
20120108,"세종",2,0
20120108,"울산",1,1
20120108,"울산",2,0
20120108,"인천",1,0
20120108,"인천",2,1
20120108,"전남",1,0
20120108,"전남",2,1
20120108,"전북",1,0
20120108,"전북",2,0
20120108,"제주",1,0
20120108,"제주",2,0
20120108,"충남",1,1
20120108,"충남",2,3
20120108,"충북",1,0
20120108,"충북",2,1
20120109,"강원",1,1
20120109,"강원",2,0
20120109,"경기",1,6
20120109,"경기",2,4
20120109,"경남",1,2
20120109,"경남",2,2
20120109,"경북",1,4
20120109,"경북",2,4
20120109,"광주",1,2
20120109,"광주",2,1
20120109,"대구",1,0
20120109,"대구",2,1
20120109,"대전",1,0
20120109,"대전",2,1
20120109,"부산",1,6
20120109,"부산",2,3
20120109,"서울",1,5
20120109,"서울",2,6
20120109,"세종",1,0
20120109,"세종",2,0
20120109,"울산",1,0
20120109,"울산",2,0
20120109,"인천",1,0
20120109,"인천",2,1
20120109,"전남",1,1
20120109,"전남",2,1
20120109,"전북",1,1
20120109,"전북",2,3
20120109,"제주",1,0
20120109,"제주",2,2
20120109,"충남",1,4
20120109,"충남",2,0
20120109,"충북",1,0
20120109,"충북",2,2
20120110,"강원",1,1
20120110,"강원",2,1
20120110,"경기",1,7
20120110,"경기",2,4
20120110,"경남",1,4
20120110,"경남",2,1
20120110,"경북",1,3
20120110,"경북",2,1
20120110,"광주",1,2
20120110,"광주",2,0
20120110,"대구",1,1
20120110,"대구",2,2
20120110,"대전",1,0
20120110,"대전",2,2
20120110,"부산",1,5
20120110,"부산",2,0
20120110,"서울",1,2
20120110,"서울",2,5
20120110,"세종",1,0
20120110,"세종",2,0
20120110,"울산",1,0
20120110,"울산",2,1
20120110,"인천",1,2
20120110,"인천",2,1
20120110,"전남",1,0
20120110,"전남",2,1
20120110,"전북",1,0
20120110,"전북",2,1
20120110,"제주",1,0
20120110,"제주",2,0
20120110,"충남",1,1
20120110,"충남",2,2
20120110,"충북",1,2
20120110,"충북",2,1
20120111,"강원",1,0
20120111,"강원",2,1
20120111,"경기",1,11
20120111,"경기",2,3
20120111,"경남",1,7
20120111,"경남",2,3
20120111,"경북",1,0
20120111,"경북",2,1
20120111,"광주",1,1
20120111,"광주",2,1
20120111,"대구",1,0
20120111,"대구",2,0
20120111,"대전",1,0
20120111,"대전",2,0
20120111,"부산",1,0
20120111,"부산",2,2
20120111,"서울",1,3
20120111,"서울",2,4
20120111,"세종",1,0
20120111,"세종",2,0
20120111,"울산",1,2
20120111,"울산",2,1
20120111,"인천",1,0
20120111,"인천",2,1
20120111,"전남",1,3
20120111,"전남",2,1
20120111,"전북",1,2
20120111,"전북",2,3
20120111,"제주",1,0
20120111,"제주",2,0
20120111,"충남",1,4
20120111,"충남",2,0
20120111,"충북",1,0
20120111,"충북",2,2
20120112,"강원",1,1
20120112,"강원",2,0
20120112,"경기",1,5
20120112,"경기",2,12
20120112,"경남",1,1
20120112,"경남",2,3
20120112,"경북",1,3
20120112,"경북",2,0
20120112,"광주",1,1
20120112,"광주",2,2
20120112,"대구",1,1
20120112,"대구",2,2
20120112,"대전",1,0
20120112,"대전",2,0
20120112,"부산",1,0
20120112,"부산",2,0
20120112,"서울",1,4
20120112,"서울",2,1
20120112,"세종",1,0
20120112,"세종",2,0
20120112,"울산",1,0
20120112,"울산",2,0
20120112,"인천",1,0
20120112,"인천",2,1
20120112,"전남",1,1
20120112,"전남",2,2
20120112,"전북",1,1
20120112,"전북",2,2
20120112,"제주",1,0
20120112,"제주",2,0
20120112,"충남",1,1
20120112,"충남",2,3
20120112,"충북",1,1
20120112,"충북",2,0
20120113,"강원",1,3
20120113,"강원",2,0
20120113,"경기",1,7
20120113,"경기",2,5
20120113,"경남",1,3
20120113,"경남",2,3
20120113,"경북",1,2
20120113,"경북",2,4
20120113,"광주",1,1
20120113,"광주",2,1
20120113,"대구",1,2
20120113,"대구",2,0
20120113,"대전",1,3
20120113,"대전",2,1
20120113,"부산",1,2
20120113,"부산",2,1
20120113,"서울",1,3
20120113,"서울",2,1
20120113,"세종",1,0
20120113,"세종",2,0
20120113,"울산",1,0
20120113,"울산",2,0
20120113,"인천",1,1
20120113,"인천",2,1
20120113,"전남",1,1
20120113,"전남",2,0
20120113,"전북",1,0
20120113,"전북",2,4
20120113,"제주",1,1
20120113,"제주",2,0
20120113,"충남",1,0
20120113,"충남",2,1
20120113,"충북",1,1
20120113,"충북",2,0
20120114,"강원",1,1
20120114,"강원",2,2
20120114,"경기",1,3
20120114,"경기",2,4
20120114,"경남",1,0
20120114,"경남",2,2
20120114,"경북",1,2
20120114,"경북",2,1
20120114,"광주",1,0
20120114,"광주",2,1
20120114,"대구",1,0
20120114,"대구",2,2
20120114,"대전",1,0
20120114,"대전",2,0
20120114,"부산",1,0
20120114,"부산",2,0
20120114,"서울",1,2
20120114,"서울",2,2
20120114,"세종",1,0
20120114,"세종",2,0
20120114,"울산",1,1
20120114,"울산",2,1
20120114,"인천",1,0
20120114,"인천",2,0
20120114,"전남",1,2
20120114,"전남",2,0
20120114,"전북",1,0
20120114,"전북",2,5
20120114,"제주",1,0
20120114,"제주",2,0
20120114,"충남",1,2
20120114,"충남",2,0
20120114,"충북",1,0
20120114,"충북",2,1
20120115,"강원",1,1
20120115,"강원",2,0
20120115,"경기",1,4
20120115,"경기",2,3
20120115,"경남",1,0
20120115,"경남",2,1
20120115,"경북",1,1
20120115,"경북",2,1
20120115,"광주",1,0
20120115,"광주",2,0
20120115,"대구",1,1
20120115,"대구",2,0
20120115,"대전",1,0
20120115,"대전",2,2
20120115,"부산",1,0
20120115,"부산",2,1
20120115,"서울",1,7
20120115,"서울",2,3
20120115,"세종",1,0
20120115,"세종",2,0
20120115,"울산",1,0
20120115,"울산",2,0
20120115,"인천",1,0
20120115,"인천",2,0
20120115,"전남",1,1
20120115,"전남",2,2
20120115,"전북",1,0
20120115,"전북",2,0
20120115,"제주",1,0
20120115,"제주",2,0
20120115,"충남",1,0
20120115,"충남",2,1
20120115,"충북",1,1
20120115,"충북",2,1
20120116,"강원",1,0
20120116,"강원",2,0
20120116,"경기",1,4
20120116,"경기",2,8
20120116,"경남",1,2
20120116,"경남",2,1
20120116,"경북",1,0
20120116,"경북",2,2
20120116,"광주",1,0
20120116,"광주",2,0
20120116,"대구",1,1
20120116,"대구",2,2
20120116,"대전",1,1
20120116,"대전",2,1
20120116,"부산",1,4
20120116,"부산",2,3
20120116,"서울",1,4
20120116,"서울",2,2
20120116,"세종",1,0
20120116,"세종",2,0
20120116,"울산",1,0
20120116,"울산",2,0
20120116,"인천",1,1
20120116,"인천",2,1
20120116,"전남",1,0
20120116,"전남",2,0
20120116,"전북",1,2
20120116,"전북",2,1
20120116,"제주",1,1
20120116,"제주",2,0
20120116,"충남",1,2
20120116,"충남",2,2
20120116,"충북",1,0
20120116,"충북",2,0
20120117,"강원",1,1
20120117,"강원",2,0
20120117,"경기",1,6
20120117,"경기",2,5
20120117,"경남",1,3
20120117,"경남",2,3
20120117,"경북",1,5
20120117,"경북",2,2
20120117,"광주",1,0
20120117,"광주",2,0
20120117,"대구",1,0
20120117,"대구",2,0
20120117,"대전",1,0
20120117,"대전",2,1
20120117,"부산",1,2
20120117,"부산",2,4
20120117,"서울",1,1
20120117,"서울",2,3
20120117,"세종",1,0
20120117,"세종",2,0
20120117,"울산",1,2
20120117,"울산",2,0
20120117,"인천",1,1
20120117,"인천",2,0
20120117,"전남",1,1
20120117,"전남",2,1
20120117,"전북",1,1
20120117,"전북",2,2
20120117,"제주",1,2
20120117,"제주",2,1
20120117,"충남",1,3
20120117,"충남",2,2
20120117,"충북",1,1
20120117,"충북",2,1
20120118,"강원",1,1
20120118,"강원",2,2
20120118,"경기",1,4
20120118,"경기",2,7
20120118,"경남",1,1
20120118,"경남",2,2
20120118,"경북",1,0
20120118,"경북",2,1
20120118,"광주",1,1
20120118,"광주",2,0
20120118,"대구",1,1
20120118,"대구",2,2
20120118,"대전",1,3
20120118,"대전",2,1
20120118,"부산",1,1
20120118,"부산",2,2
20120118,"서울",1,3
20120118,"서울",2,6
20120118,"세종",1,0
20120118,"세종",2,0
20120118,"울산",1,0
20120118,"울산",2,0
20120118,"인천",1,3
20120118,"인천",2,2
20120118,"전남",1,3
20120118,"전남",2,2
20120118,"전북",1,1
20120118,"전북",2,1
20120118,"제주",1,1
20120118,"제주",2,0
20120118,"충남",1,1
20120118,"충남",2,0
20120118,"충북",1,1
20120118,"충북",2,2
20120119,"강원",1,0
20120119,"강원",2,1
20120119,"경기",1,4
20120119,"경기",2,7
20120119,"경남",1,4
20120119,"경남",2,3
20120119,"경북",1,0
20120119,"경북",2,1
20120119,"광주",1,0
20120119,"광주",2,0
20120119,"대구",1,3
20120119,"대구",2,0
20120119,"대전",1,1
20120119,"대전",2,1
20120119,"부산",1,2
20120119,"부산",2,3
20120119,"서울",1,1
20120119,"서울",2,3
20120119,"세종",1,0
20120119,"세종",2,0
20120119,"울산",1,1
20120119,"울산",2,0
20120119,"인천",1,2
20120119,"인천",2,0
20120119,"전남",1,3
20120119,"전남",2,0
20120119,"전북",1,2
20120119,"전북",2,0
20120119,"제주",1,0
20120119,"제주",2,0
20120119,"충남",1,1
20120119,"충남",2,2
20120119,"충북",1,0
20120119,"충북",2,0
20120120,"강원",1,0
20120120,"강원",2,0
20120120,"경기",1,3
20120120,"경기",2,3
20120120,"경남",1,2
20120120,"경남",2,1
20120120,"경북",1,1
20120120,"경북",2,0
20120120,"광주",1,1
20120120,"광주",2,0
20120120,"대구",1,0
20120120,"대구",2,0
20120120,"대전",1,1
20120120,"대전",2,0
20120120,"부산",1,2
20120120,"부산",2,1
20120120,"서울",1,1
20120120,"서울",2,5
20120120,"세종",1,0
20120120,"세종",2,0
20120120,"울산",1,1
20120120,"울산",2,0
20120120,"인천",1,1
20120120,"인천",2,7
20120120,"전남",1,1
20120120,"전남",2,0
20120120,"전북",1,1
20120120,"전북",2,0
20120120,"제주",1,0
20120120,"제주",2,0
20120120,"충남",1,2
20120120,"충남",2,0
20120120,"충북",1,1
20120120,"충북",2,1
20120121,"강원",1,0
20120121,"강원",2,0
20120121,"경기",1,3
20120121,"경기",2,4
20120121,"경남",1,1
20120121,"경남",2,2
20120121,"경북",1,2
20120121,"경북",2,1
20120121,"광주",1,0
20120121,"광주",2,0
20120121,"대구",1,0
20120121,"대구",2,0
20120121,"대전",1,1
20120121,"대전",2,0
20120121,"부산",1,2
20120121,"부산",2,1
20120121,"서울",1,2
20120121,"서울",2,4
20120121,"세종",1,0
20120121,"세종",2,0
20120121,"울산",1,0
20120121,"울산",2,0
20120121,"인천",1,5
20120121,"인천",2,1
20120121,"전남",1,2
20120121,"전남",2,1
20120121,"전북",1,0
20120121,"전북",2,0
20120121,"제주",1,0
20120121,"제주",2,1
20120121,"충남",1,0
20120121,"충남",2,0
20120121,"충북",1,1
20120121,"충북",2,0
20120122,"강원",1,1
20120122,"강원",2,0
20120122,"경기",1,3
20120122,"경기",2,3
20120122,"경남",1,3
20120122,"경남",2,3
20120122,"경북",1,1
20120122,"경북",2,3
20120122,"광주",1,2
20120122,"광주",2,0
20120122,"대구",1,0
20120122,"대구",2,2
20120122,"대전",1,1
20120122,"대전",2,0
20120122,"부산",1,2
20120122,"부산",2,0
20120122,"서울",1,2
20120122,"서울",2,2
20120122,"세종",1,0
20120122,"세종",2,0
20120122,"울산",1,1
20120122,"울산",2,0
20120122,"인천",1,1
20120122,"인천",2,2
20120122,"전남",1,1
20120122,"전남",2,2
20120122,"전북",1,2
20120122,"전북",2,3
20120122,"제주",1,0
20120122,"제주",2,0
20120122,"충남",1,0
20120122,"충남",2,0
20120122,"충북",1,2
20120122,"충북",2,0
20120123,"강원",1,0
20120123,"강원",2,0
20120123,"경기",1,2
20120123,"경기",2,6
20120123,"경남",1,0
20120123,"경남",2,0
20120123,"경북",1,0
20120123,"경북",2,1
20120123,"광주",1,0
20120123,"광주",2,1
20120123,"대구",1,2
20120123,"대구",2,1
20120123,"대전",1,0
20120123,"대전",2,0
20120123,"부산",1,2
20120123,"부산",2,0
20120123,"서울",1,5
20120123,"서울",2,1
20120123,"세종",1,0
20120123,"세종",2,0
20120123,"울산",1,0
20120123,"울산",2,1
20120123,"인천",1,1
20120123,"인천",2,0
20120123,"전남",1,0
20120123,"전남",2,1
20120123,"전북",1,2
20120123,"전북",2,1
20120123,"제주",1,0
20120123,"제주",2,0
20120123,"충남",1,0
20120123,"충남",2,2
20120123,"충북",1,1
20120123,"충북",2,0
20120124,"강원",1,1
20120124,"강원",2,0
20120124,"경기",1,1
20120124,"경기",2,4
20120124,"경남",1,0
20120124,"경남",2,0
20120124,"경북",1,0
20120124,"경북",2,5
20120124,"광주",1,2
20120124,"광주",2,1
20120124,"대구",1,3
20120124,"대구",2,2
20120124,"대전",1,0
20120124,"대전",2,0
20120124,"부산",1,0
20120124,"부산",2,1
20120124,"서울",1,0
20120124,"서울",2,4
20120124,"세종",1,0
20120124,"세종",2,0
20120124,"울산",1,0
20120124,"울산",2,0
20120124,"인천",1,0
20120124,"인천",2,1
20120124,"전남",1,1
20120124,"전남",2,0
20120124,"전북",1,0
20120124,"전북",2,0
20120124,"제주",1,0
20120124,"제주",2,0
20120124,"충남",1,0
20120124,"충남",2,2
20120124,"충북",1,1
20120124,"충북",2,1
20120125,"강원",1,2
20120125,"강원",2,4
20120125,"경기",1,8
20120125,"경기",2,6
20120125,"경남",1,0
20120125,"경남",2,7
20120125,"경북",1,3
20120125,"경북",2,5
20120125,"광주",1,0
20120125,"광주",2,1
20120125,"대구",1,0
20120125,"대구",2,3
20120125,"대전",1,2
20120125,"대전",2,1
20120125,"부산",1,4
20120125,"부산",2,1
20120125,"서울",1,2
20120125,"서울",2,3
20120125,"세종",1,0
20120125,"세종",2,0
20120125,"울산",1,0
20120125,"울산",2,1
20120125,"인천",1,1
20120125,"인천",2,1
20120125,"전남",1,1
20120125,"전남",2,2
20120125,"전북",1,2
20120125,"전북",2,1
20120125,"제주",1,0
20120125,"제주",2,0
20120125,"충남",1,3
20120125,"충남",2,0
20120125,"충북",1,6
20120125,"충북",2,0
20120126,"강원",1,0
20120126,"강원",2,1
20120126,"경기",1,6
20120126,"경기",2,2
20120126,"경남",1,3
20120126,"경남",2,1
20120126,"경북",1,1
20120126,"경북",2,3
20120126,"광주",1,1
20120126,"광주",2,1
20120126,"대구",1,1
20120126,"대구",2,0
20120126,"대전",1,0
20120126,"대전",2,0
20120126,"부산",1,1
20120126,"부산",2,3
20120126,"서울",1,2
20120126,"서울",2,2
20120126,"세종",1,0
20120126,"세종",2,0
20120126,"울산",1,1
20120126,"울산",2,2
20120126,"인천",1,1
20120126,"인천",2,1
20120126,"전남",1,1
20120126,"전남",2,2
20120126,"전북",1,1
20120126,"전북",2,2
20120126,"제주",1,0
20120126,"제주",2,0
20120126,"충남",1,2
20120126,"충남",2,3
20120126,"충북",1,3
20120126,"충북",2,1
20120127,"강원",1,1
20120127,"강원",2,1
20120127,"경기",1,8
20120127,"경기",2,2
20120127,"경남",1,3
20120127,"경남",2,4
20120127,"경북",1,3
20120127,"경북",2,2
20120127,"광주",1,0
20120127,"광주",2,1
20120127,"대구",1,0
20120127,"대구",2,0
20120127,"대전",1,1
20120127,"대전",2,2
20120127,"부산",1,0
20120127,"부산",2,2
20120127,"서울",1,0
20120127,"서울",2,4
20120127,"세종",1,0
20120127,"세종",2,0
20120127,"울산",1,1
20120127,"울산",2,0
20120127,"인천",1,1
20120127,"인천",2,1
20120127,"전남",1,3
20120127,"전남",2,1
20120127,"전북",1,2
20120127,"전북",2,0
20120127,"제주",1,1
20120127,"제주",2,0
20120127,"충남",1,2
20120127,"충남",2,2
20120127,"충북",1,1
20120127,"충북",2,1
20120128,"강원",1,1
20120128,"강원",2,0
20120128,"경기",1,2
20120128,"경기",2,5
20120128,"경남",1,1
20120128,"경남",2,3
20120128,"경북",1,1
20120128,"경북",2,0
20120128,"광주",1,0
20120128,"광주",2,1
20120128,"대구",1,1
20120128,"대구",2,2
20120128,"대전",1,1
20120128,"대전",2,2
20120128,"부산",1,0
20120128,"부산",2,3
20120128,"서울",1,2
20120128,"서울",2,6
20120128,"세종",1,0
20120128,"세종",2,0
20120128,"울산",1,1
20120128,"울산",2,0
20120128,"인천",1,1
20120128,"인천",2,1
20120128,"전남",1,0
20120128,"전남",2,1
20120128,"전북",1,1
20120128,"전북",2,1
20120128,"제주",1,0
20120128,"제주",2,0
20120128,"충남",1,1
20120128,"충남",2,2
20120128,"충북",1,4
20120128,"충북",2,0
20120129,"강원",1,2
20120129,"강원",2,0
20120129,"경기",1,6
20120129,"경기",2,3
20120129,"경남",1,3
20120129,"경남",2,0
20120129,"경북",1,2
20120129,"경북",2,2
20120129,"광주",1,0
20120129,"광주",2,0
20120129,"대구",1,1
20120129,"대구",2,1
20120129,"대전",1,1
20120129,"대전",2,0
20120129,"부산",1,2
20120129,"부산",2,1
20120129,"서울",1,4
20120129,"서울",2,3
20120129,"세종",1,0
20120129,"세종",2,0
20120129,"울산",1,0
20120129,"울산",2,1
20120129,"인천",1,1
20120129,"인천",2,0
20120129,"전남",1,1
20120129,"전남",2,4
20120129,"전북",1,0
20120129,"전북",2,3
20120129,"제주",1,0
20120129,"제주",2,0
20120129,"충남",1,0
20120129,"충남",2,0
20120129,"충북",1,3
20120129,"충북",2,0
20120130,"강원",1,1
20120130,"강원",2,1
20120130,"경기",1,2
20120130,"경기",2,3
20120130,"경남",1,2
20120130,"경남",2,1
20120130,"경북",1,4
20120130,"경북",2,5
20120130,"광주",1,0
20120130,"광주",2,2
20120130,"대구",1,1
20120130,"대구",2,0
20120130,"대전",1,0
20120130,"대전",2,0
20120130,"부산",1,2
20120130,"부산",2,1
20120130,"서울",1,4
20120130,"서울",2,2
20120130,"세종",1,0
20120130,"세종",2,0
20120130,"울산",1,1
20120130,"울산",2,0
20120130,"인천",1,2
20120130,"인천",2,3
20120130,"전남",1,0
20120130,"전남",2,2
20120130,"전북",1,2
20120130,"전북",2,4
20120130,"제주",1,0
20120130,"제주",2,0
20120130,"충남",1,1
20120130,"충남",2,0
20120130,"충북",1,2
20120130,"충북",2,0
20120131,"강원",1,1
20120131,"강원",2,2
20120131,"경기",1,8
20120131,"경기",2,6
20120131,"경남",1,3
20120131,"경남",2,1
20120131,"경북",1,2
20120131,"경북",2,2
20120131,"광주",1,1
20120131,"광주",2,0
20120131,"대구",1,1
20120131,"대구",2,1
20120131,"대전",1,1
20120131,"대전",2,0
20120131,"부산",1,2
20120131,"부산",2,1
20120131,"서울",1,3
20120131,"서울",2,4
20120131,"세종",1,0
20120131,"세종",2,0
20120131,"울산",1,1
20120131,"울산",2,1
20120131,"인천",1,0
20120131,"인천",2,3
20120131,"전남",1,3
20120131,"전남",2,3
20120131,"전북",1,2
20120131,"전북",2,0
20120131,"제주",1,0
20120131,"제주",2,0
20120131,"충남",1,3
20120131,"충남",2,2
20120131,"충북",1,1
20120131,"충북",2,1
20120201,"강원",1,4
20120201,"강원",2,2
20120201,"경기",1,3
20120201,"경기",2,11
20120201,"경남",1,5
20120201,"경남",2,5
20120201,"경북",1,5
20120201,"경북",2,4
20120201,"광주",1,3
20120201,"광주",2,2
20120201,"대구",1,3
20120201,"대구",2,3
20120201,"대전",1,1
20120201,"대전",2,1
20120201,"부산",1,7
20120201,"부산",2,1
20120201,"서울",1,8
20120201,"서울",2,5
20120201,"세종",1,0
20120201,"세종",2,0
20120201,"울산",1,3
20120201,"울산",2,0
20120201,"인천",1,3
20120201,"인천",2,1
20120201,"전남",1,5
20120201,"전남",2,6
20120201,"전북",1,0
20120201,"전북",2,3
20120201,"제주",1,0
20120201,"제주",2,0
20120201,"충남",1,0
20120201,"충남",2,3
20120201,"충북",1,2
20120201,"충북",2,2
20120202,"강원",1,3
20120202,"강원",2,1
20120202,"경기",1,2
20120202,"경기",2,5
20120202,"경남",1,0
20120202,"경남",2,1
20120202,"경북",1,4
20120202,"경북",2,1
20120202,"광주",1,1
20120202,"광주",2,0
20120202,"대구",1,1
20120202,"대구",2,2
20120202,"대전",1,1
20120202,"대전",2,1
20120202,"부산",1,4
20120202,"부산",2,1
20120202,"서울",1,3
20120202,"서울",2,4
20120202,"세종",1,0
20120202,"세종",2,0
20120202,"울산",1,0
20120202,"울산",2,0
20120202,"인천",1,2
20120202,"인천",2,2
20120202,"전남",1,1
20120202,"전남",2,3
20120202,"전북",1,1
20120202,"전북",2,1
20120202,"제주",1,0
20120202,"제주",2,0
20120202,"충남",1,0
20120202,"충남",2,1
20120202,"충북",1,0
20120202,"충북",2,1
20120203,"강원",1,0
20120203,"강원",2,1
20120203,"경기",1,4
20120203,"경기",2,2
20120203,"경남",1,2
20120203,"경남",2,0
20120203,"경북",1,0
20120203,"경북",2,1
20120203,"광주",1,0
20120203,"광주",2,1
20120203,"대구",1,0
20120203,"대구",2,0
20120203,"대전",1,0
20120203,"대전",2,2
20120203,"부산",1,4
20120203,"부산",2,1
20120203,"서울",1,5
20120203,"서울",2,4
20120203,"세종",1,0
20120203,"세종",2,0
20120203,"울산",1,0
20120203,"울산",2,0
20120203,"인천",1,0
20120203,"인천",2,2
20120203,"전남",1,0
20120203,"전남",2,0
20120203,"전북",1,1
20120203,"전북",2,2
20120203,"제주",1,0
20120203,"제주",2,1
20120203,"충남",1,0
20120203,"충남",2,0
20120203,"충북",1,0
20120203,"충북",2,1
20120204,"강원",1,0
20120204,"강원",2,0
20120204,"경기",1,0
